MaterialId,Reduced Formula,Elements,Crystal System,Space Group,Bandgap,Formation Energy Per Atom,Decomposition Energy Per Atom,NSites,Density,microgravity_advantage_score,density_contrast_score,crystal_quality_score,containerless_score,commercial_score,novelty_score,target_sectors,_n_elements
45ea93117f,LiTa3Nb2Re5Si6W,"['Li', 'Si', 'Nb', 'Ta', 'W', 'Re']",triclinic,P1,,-0.4727,-0.0339,18,12.4117,100.0,26.843,2.0,3.0,19.5,3.0,"['quantum', 'superalloy', 'defense', 'energy']",6
338e00b069,LiTa2Nb2Re6Si6W,"['Li', 'Si', 'Nb', 'Ta', 'W', 'Re']",monoclinic,Cm,,-0.4268,-0.0318,18,12.6117,100.0,26.843,2.0,3.0,19.5,3.0,"['quantum', 'superalloy', 'defense', 'energy']",6
310f4d13a3,LiNb3Sb4(IrRh)2,"['Li', 'Nb', 'Rh', 'Sb', 'Ir']",orthorhombic,Fmm2,0.5038,-0.5739,-0.0658,12,9.3892,95.85,28.267,5.5,3.0,10.5,2.5,"['quantum', 'defense', 'energy']",5
5c0833760b,Li2Dy3GeP11Ir16Rh3,"['Li', 'P', 'Ge', 'Rh', 'Dy', 'Ir']",monoclinic,Pm,,-0.7574,-0.045,36,12.9198,95.78,28.32,4.0,3.0,12.0,3.0,"['semiconductor', 'battery', 'optical', 'defense']",6
44f2d4078b,Li2Dy5GaMoP11Ir16,"['Li', 'P', 'Ga', 'Mo', 'Dy', 'Ir']",monoclinic,Pm,,-0.9059,-0.0927,36,13.0461,95.62,28.248,4.0,3.0,12.0,3.0,"['semiconductor', 'battery', 'optical', 'defense']",6
a021db7cdc,LiTa3Nb2(ReSi)6,"['Li', 'Si', 'Nb', 'Ta', 'Re']",monoclinic,Cm,,-0.4722,-0.0309,18,12.5095,94.97,26.798,2.0,3.0,16.5,2.5,"['quantum', 'superalloy', 'defense', 'energy']",5
3f4836d6a3,LiTaNb4(ReSi)6,"['Li', 'Si', 'Nb', 'Ta', 'Re']",monoclinic,Cm,0.0071,-0.4667,-0.0217,18,11.3745,94.97,26.798,2.0,3.0,16.5,2.5,"['quantum', 'superalloy', 'defense', 'energy']",5
cca06ff104,LiTa4Nb(ReSi)6,"['Li', 'Si', 'Nb', 'Ta', 'Re']",monoclinic,Cm,0.0249,-0.472,-0.0326,18,13.0777,94.97,26.798,2.0,3.0,16.5,2.5,"['quantum', 'superalloy', 'defense', 'energy']",5
8265271a97,LiNb3Sb4Ir3Rh,"['Li', 'Nb', 'Rh', 'Sb', 'Ir']",monoclinic,Cm,0.3925,-0.567,-0.0502,12,9.9669,94.9,28.267,5.0,3.0,10.5,2.5,"['quantum', 'defense', 'energy']",5
bf2f49ec5a,LiNb3Sb4IrRh3,"['Li', 'Nb', 'Rh', 'Sb', 'Ir']",monoclinic,Cm,0.3777,-0.5804,-0.0815,12,8.807,94.9,28.267,5.0,3.0,10.5,2.5,"['quantum', 'defense', 'energy']",5
999fd79b43,Li3Dy5Ge6(P3Ir8)2,"['Li', 'P', 'Ge', 'Dy', 'Ir']",hexagonal,P-6,,-0.8205,-0.0606,36,12.9014,94.14,28.514,5.5,3.0,9.0,2.5,"['semiconductor', 'battery', 'optical']",5
162b0fad54,Li3Dy5As3P9Ir16,"['Li', 'P', 'As', 'Dy', 'Ir']",hexagonal,P-62m,0.0008,-0.8715,-0.0637,36,12.8545,94.12,28.504,5.5,3.0,9.0,2.5,"['semiconductor', 'battery', 'optical']",5
ecce22c5a8,Li3Ti(NbIr3)2,"['Li', 'Ti', 'Nb', 'Ir']",orthorhombic,Pmmn,,-0.5582,-0.013,24,13.5026,93.74,28.67,0.5,3.0,15.0,2.0,"['battery', 'quantum', 'superalloy', 'defense', 'energy']",4
