MaterialId,Reduced Formula,Elements,Crystal System,Space Group,Bandgap,Formation Energy Per Atom,Decomposition Energy Per Atom,microgravity_advantage_score,seed_score,density_ratio,mp_ratio,mp_compatible,target_sectors
63aff89a29,Ga4Hg11AsP3Br16,"['P', 'Ga', 'As', 'Br', 'Hg']",monoclinic,Cm,1.213,-0.8201,-0.0792,50.94,100,3.25,3.6,True,"['semiconductor', 'quantum', 'optical']"
9de690491d,La6AlInSiSe14,"['Al', 'Si', 'Se', 'In', 'La']",trigonal,P3,1.6293,-1.8448,-0.0178,50.72,100,3.14,3.93,True,"['semiconductor', 'quantum', 'optical']"
3708a6fbc4,Ga4Hg11As3PBr16,"['P', 'Ga', 'As', 'Br', 'Hg']",monoclinic,Cm,0.975,-0.8234,-0.0526,50.94,100,3.25,3.6,True,"['semiconductor', 'quantum', 'optical']"
cdf2daa6df,Cs12In2Sb4AsP,"['P', 'As', 'In', 'Sb', 'Cs']",monoclinic,Pm,0.5381,-0.4162,-0.0283,53.07,100,4.02,3.61,True,"['semiconductor', 'quantum', 'optical']"
615026aa97,RbInGa4(HgSe3)4,"['Ga', 'Se', 'Rb', 'In', 'Hg']",triclinic,P1,0.762,-0.7883,-0.0066,52.76,100,4.78,1.63,True,"['semiconductor', 'quantum', 'optical']"
81aab34b60,Ba4SiHg4Ge3Se16,"['Si', 'Ge', 'Se', 'Ba', 'Hg']",triclinic,P1,1.3478,-1.1011,-0.012,52.03,100,2.28,3.41,True,"['semiconductor', 'quantum', 'optical']"
7339800fd3,Ba4Si3Hg4GeSe16,"['Si', 'Ge', 'Se', 'Ba', 'Hg']",triclinic,P1,1.4864,-1.1413,-0.0077,52.03,100,2.28,3.41,True,"['semiconductor', 'quantum', 'optical']"
966efc4107,Rb8In5Ga3(SnSe4)8,"['Ga', 'Se', 'Rb', 'In', 'Sn']",triclinic,P1,1.4334,-0.9701,-0.0125,51.63,100,4.78,1.67,True,"['semiconductor', 'quantum', 'optical']"
e6060f5185,CsCd4In(GaSe3)4,"['Ga', 'Se', 'Cd', 'In', 'Cs']",triclinic,P1,1.2491,-0.9448,-0.009,53.85,100,4.63,1.97,True,"['semiconductor', 'quantum', 'optical']"
9648551738,K4InGa11Te20,"['K', 'Ga', 'In', 'Te']",triclinic,P1,0.9155,-0.7349,-0.0126,50.59,90,8.5,2.39,True,"['semiconductor', 'quantum', 'optical']"
d97ebee04d,KInGa2Se5,"['K', 'Ga', 'Se', 'In']",triclinic,P1,1.335,-1.0123,-0.0233,50.5,90,8.5,1.63,True,"['semiconductor', 'quantum', 'optical']"
03d9c56365,Mg2Ta3Nb(SbRh)6,"['Mg', 'Nb', 'Rh', 'Sb', 'Ta']",triclinic,P1,0.884,-0.5709,-0.0883,50.6,90,9.57,3.64,True,"['quantum', 'superalloy', 'defense']"
9fdeaa6346,Na4In9Ga3Te20,"['Na', 'Ga', 'In', 'Te']",trigonal,R3,1.0985,-0.6962,-0.0281,51.12,90,7.54,2.39,True,"['semiconductor', 'quantum', 'optical']"
9dec426491,K6Ba6AlInP8,"['Al', 'P', 'K', 'In', 'Ba']",trigonal,P3m1,0.8736,-0.7266,-0.0252,51.1,90,8.5,3.15,True,"['semiconductor', 'battery', 'quantum', 'optical']"
7a2e756d5c,Na4In3Ga9Te20,"['Na', 'Ga', 'In', 'Te']",trigonal,R3,1.1217,-0.7045,-0.0114,51.12,90,7.54,2.39,True,"['semiconductor', 'quantum', 'optical']"
65529859f8,KNa2Tl(Ga3Te5)4,"['Na', 'K', 'Ga', 'Te', 'Tl']",monoclinic,C2,0.8117,-0.6827,-0.0051,51.26,90,7.26,2.39,True,"['semiconductor', 'battery', 'optical']"
daf9eed993,K6InAsP2,"['P', 'K', 'As', 'In']",triclinic,P1,0.6489,-0.3604,-0.0026,55.29,90,8.5,3.44,True,"['semiconductor', 'battery', 'quantum', 'optical']"
99cae4430a,K4AlGa3(GeSe4)4,"['Al', 'K', 'Ga', 'Ge', 'Se']",triclinic,P1,1.5673,-0.9817,-0.0286,50.46,90,6.87,4.0,True,"['semiconductor', 'quantum', 'optical']"
27965b732a,MgTaNb(SbRh)3,"['Mg', 'Nb', 'Rh', 'Sb', 'Ta']",triclinic,P1,0.7963,-0.5786,-0.0839,50.6,90,9.57,3.64,True,"['quantum', 'superalloy', 'defense']"
2685d79168,K8Na4In3GaSb8,"['Na', 'K', 'Ga', 'In', 'Sb']",monoclinic,C2,0.5523,-0.5214,-0.0039,55.82,90,8.5,2.98,True,"['semiconductor', 'battery', 'quantum', 'optical']"
cfc5589dbb,K2In(GaTe2)5,"['K', 'Ga', 'In', 'Te']",triclinic,P1,0.9716,-0.7366,-0.0144,50.59,90,8.5,2.39,True,"['semiconductor', 'quantum', 'optical']"
a23908e6ca,K2Na2In9Ga3Te20,"['Na', 'K', 'Ga', 'In', 'Te']",triclinic,P1,1.0973,-0.7186,-0.022,55.76,90,8.5,2.39,True,"['semiconductor', 'battery', 'quantum', 'optical']"
9b53b06ae8,K8Na4InGa3Sb8,"['Na', 'K', 'Ga', 'In', 'Sb']",monoclinic,C2,0.5504,-0.5076,-0.0139,55.82,90,8.5,2.98,True,"['semiconductor', 'battery', 'quantum', 'optical']"
fd25b47f4f,KInGa2Te5,"['K', 'Ga', 'In', 'Te']",triclinic,P1,1.0334,-0.7395,-0.0173,50.59,90,8.5,2.39,True,"['semiconductor', 'quantum', 'optical']"
8c9c9afe3f,Rb2NaInAsP,"['Na', 'P', 'As', 'Rb', 'In']",orthorhombic,Ima2,0.7191,-0.4362,-0.0772,55.2,90,7.54,3.49,True,"['semiconductor', 'battery', 'quantum', 'optical']"
6fbc08809b,Na6GaAsP2,"['Na', 'P', 'Ga', 'As']",triclinic,P1,0.7979,-0.4101,-0.0216,51.62,90,6.09,3.6,True,"['semiconductor', 'battery', 'quantum', 'optical']"
b3571a3e5a,K12In2As5P,"['P', 'K', 'As', 'In']",triclinic,P1,0.5449,-0.404,-0.0038,55.29,90,8.5,3.44,True,"['semiconductor', 'battery', 'quantum', 'optical']"
97a61b7611,K12Ga2AsP5,"['P', 'K', 'Ga', 'As']",triclinic,P1,0.6885,-0.3704,-0.0309,52.71,90,6.87,3.6,True,"['semiconductor', 'battery', 'quantum', 'optical']"
2ba733c07f,Rb4Na2In2As3P,"['Na', 'P', 'As', 'Rb', 'In']",monoclinic,Cm,0.6377,-0.4559,-0.0957,54.25,90,7.54,3.49,True,"['semiconductor', 'battery', 'quantum', 'optical']"
de4eafc571,Ba3Ta3Si4W3O26,"['O', 'Si', 'Ba', 'Ta', 'W']",trigonal,P31m,1.2528,-3.0949,-0.0105,53.0,90,8.26,3.69,True,"['quantum', 'superalloy', 'optical', 'defense']"
