MaterialId,Reduced Formula,Elements,Crystal System,Space Group,Bandgap,Formation Energy Per Atom,Decomposition Energy Per Atom,NSites,Density,microgravity_advantage_score,density_contrast_score,crystal_quality_score,containerless_score,commercial_score,novelty_score,target_sectors,_n_elements,bandgap_category,bandgap_application
310f4d13a3,LiNb3Sb4(IrRh)2,"['Li', 'Nb', 'Rh', 'Sb', 'Ir']",orthorhombic,Fmm2,0.5038,-0.5739,-0.0658,12,9.3892,95.85,28.267,5.5,3.0,10.5,2.5,"['quantum', 'defense', 'energy']",5,thermoelectric,Thermoelectrics / IR sensors / narrow-gap semiconductor
8265271a97,LiNb3Sb4Ir3Rh,"['Li', 'Nb', 'Rh', 'Sb', 'Ir']",monoclinic,Cm,0.3925,-0.567,-0.0502,12,9.9669,94.9,28.267,5.0,3.0,10.5,2.5,"['quantum', 'defense', 'energy']",5,IR_detector,Infrared detectors / thermal imaging (defense)
bf2f49ec5a,LiNb3Sb4IrRh3,"['Li', 'Nb', 'Rh', 'Sb', 'Ir']",monoclinic,Cm,0.3777,-0.5804,-0.0815,12,8.807,94.9,28.267,5.0,3.0,10.5,2.5,"['quantum', 'defense', 'energy']",5,IR_detector,Infrared detectors / thermal imaging (defense)
137f4f1070,NaLiH12(IrPb)2,"['H', 'Li', 'Na', 'Ir', 'Pb']",tetragonal,P-42m,1.7077,-0.2669,-0.1142,36,6.9134,92.3,28.956,4.0,3.0,9.0,2.5,"['battery', 'defense', 'energy']",5,wide_gap,LEDs / wide-gap semiconductor / tandem solar
5fb363bfdf,LiTaNb2(CoSb)4,"['Li', 'Co', 'Nb', 'Sb', 'Ta']",tetragonal,I-42m,0.7839,-0.4853,-0.1327,12,8.6033,91.13,20.772,6.0,3.0,18.0,2.5,"['battery', 'quantum', 'superalloy', 'defense', 'energy']",5,thermoelectric,Thermoelectrics / IR sensors / narrow-gap semiconductor
949a5e3305,LiTa2Nb(CoSb)4,"['Li', 'Co', 'Nb', 'Sb', 'Ta']",tetragonal,I-4,0.882,-0.4745,-0.1266,12,9.3218,91.13,20.772,6.0,3.0,18.0,2.5,"['battery', 'quantum', 'superalloy', 'defense', 'energy']",5,thermoelectric,Thermoelectrics / IR sensors / narrow-gap semiconductor
ed74eab685,LiH6IrPb,"['H', 'Li', 'Ir', 'Pb']",cubic,P-43m,1.6177,-0.2651,-0.0966,36,7.0823,89.25,28.945,5.0,3.0,6.0,2.0,"['defense', 'energy']",4,wide_gap,LEDs / wide-gap semiconductor / tandem solar
751368d795,LiIn(IrS2)4,"['Li', 'S', 'In', 'Ir']",cubic,F-43m,0.7323,-0.8279,-0.0121,14,7.0668,88.24,28.832,7.0,3.0,3.0,2.0,['battery'],4,thermoelectric,Thermoelectrics / IR sensors / narrow-gap semiconductor
e8dc05de46,LiTa3Co4SbAs3,"['Li', 'Co', 'As', 'Sb', 'Ta']",orthorhombic,I222,1.0028,-0.4745,-0.0498,12,9.8524,87.23,20.808,7.5,3.0,13.5,2.5,"['semiconductor', 'battery', 'quantum', 'superalloy']",5,solar_cell,"Solar cells / photovoltaics (Si=1.1, GaAs=1.42)"
443692a509,LiTa2Nb(SbRh)4,"['Li', 'Nb', 'Rh', 'Sb', 'Ta']",tetragonal,I-42m,0.6809,-0.5666,-0.0618,12,9.4756,86.83,20.88,6.0,3.0,15.0,2.5,"['quantum', 'superalloy', 'defense', 'energy']",5,thermoelectric,Thermoelectrics / IR sensors / narrow-gap semiconductor
fd050967ac,LiTaNb2(SbRh)4,"['Li', 'Nb', 'Rh', 'Sb', 'Ta']",tetragonal,I-4,0.6123,-0.5769,-0.0661,12,8.8893,86.83,20.88,6.0,3.0,15.0,2.5,"['quantum', 'superalloy', 'defense', 'energy']",5,thermoelectric,Thermoelectrics / IR sensors / narrow-gap semiconductor
